,name,food_link,drink_link
200,居酒屋 ひまわり,https://www.hotpepper.jp/strJ000283207/food/,https://www.hotpepper.jp/strJ000283207/drink/
201,うずお家,https://www.hotpepper.jp/strJ000762994/food/,https://www.hotpepper.jp/strJ000762994/drink/
202,もつ鍋 正時浪,https://www.hotpepper.jp/strJ000661862/food/,https://www.hotpepper.jp/strJ000661862/drink/
203,土風炉 仙台国分町店,https://www.hotpepper.jp/strJ000041055/food/,https://www.hotpepper.jp/strJ000041055/drink/
204,やぶ屋 仙台国分町店,https://www.hotpepper.jp/strJ000717986/food/,https://www.hotpepper.jp/strJ000717986/drink/
205,酔,https://www.hotpepper.jp/strJ000100954/food/,https://www.hotpepper.jp/strJ000100954/drink/
206,きゃりっこ亭,https://www.hotpepper.jp/strJ000101028/food/,https://www.hotpepper.jp/strJ000101028/drink/
207,don／dez,https://www.hotpepper.jp/strJ000027469/food/,https://www.hotpepper.jp/strJ000027469/drink/
208,ＳＴ．ＥＬＭＯ’Ｓ　ＢＡＲ,https://www.hotpepper.jp/strJ000100894/food/,https://www.hotpepper.jp/strJ000100894/drink/
209,伊右衛ェ門,https://www.hotpepper.jp/strJ000276843/food/,https://www.hotpepper.jp/strJ000276843/drink/
210,オーレ・チャコールバル,https://www.hotpepper.jp/strJ000837266/food/,https://www.hotpepper.jp/strJ000837266/drink/
211,てなんご,https://www.hotpepper.jp/strJ000301794/food/,https://www.hotpepper.jp/strJ000301794/drink/
212,ぜあみ厨房,https://www.hotpepper.jp/strJ000054844/food/,https://www.hotpepper.jp/strJ000054844/drink/
213,炉ばた,https://www.hotpepper.jp/strJ000100952/food/,https://www.hotpepper.jp/strJ000100952/drink/
214,青森産地直送炉端居酒屋宵宮がほんず,https://www.hotpepper.jp/strJ001171943/food/,https://www.hotpepper.jp/strJ001171943/drink/
215,JKBar（じぇーけいばー）,https://www.hotpepper.jp/strJ001000484/food/,https://www.hotpepper.jp/strJ001000484/drink/
